"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","Alpha-Beta","0","0","50","50.0","1.0","0.0","0.0","38.54","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-12 13:03:00.746"
"Starchess","MAST","0","1","50","30.5","0.61","0.45501738024665683","0.20704081632653068","92.1","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-12 14:17:33.881"
"DisPath","Alpha-Beta","1","0","50","25.0","0.5","0.22587697572631282","0.05102040816326531","42.28","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-12 14:48:40.089"
"DisPath","MAST","1","1","50","30.0","0.6","0.24743582965269656","0.06122448979591827","42.54","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-12 15:23:19.565"
"Ludus Anglicorum","Alpha-Beta","2","0","50","0.0","0.0","0.0","0.0","277.64","1.0","0.0","0.0","true","CornerProximityNeg","-","1","2024-08-12 19:11:57.217"
"Ludus Anglicorum","MAST","2","1","50","48.0","0.96","0.1979486637221575","0.039183673469387795","500.88","1.0","0.0","0.0","true","CornerProximityNeg","-","1","2024-08-13 02:16:16.293"
"Trax","Alpha-Beta","3","0","50","41.0","0.82","0.3880879344916035","0.15061224489795913","11.98","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-13 02:26:14.24"
"Trax","MAST","3","1","50","17.0","0.34","0.47851812069840644","0.22897959183673466","9.58","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-13 02:34:26.967"
"Quixo","Alpha-Beta","4","0","50","11.5","0.23","0.3807886552931955","0.14500000000000007","998.18","0.86","0.0","0.14","true","LineCompletionHeuristicPos","-","1","2024-08-13 15:22:43.62"
"Quixo","MAST","4","1","50","1.0","0.02","0.1414213562373095","0.019999999999999997","252.28","1.0","0.0","0.0","true","LineCompletionHeuristicPos","-","1","2024-08-13 18:54:19.88"
"Banqi","Alpha-Beta","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","false","-","-","-1","2024-08-13 18:54:27.445"
"Banqi","MAST","5","1","50","8.0","0.16","0.37032803990902047","0.13714285714285707","201.32","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-13 21:45:30.843"
"Terhuchu","Alpha-Beta","6","0","50","50.0","1.0","0.0","0.0","229.6","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 00:56:10.126"
"Terhuchu","MAST","6","1","50","29.5","0.59","0.47045353714500326","0.22132653061224494","558.18","0.9","0.0","0.1","true","MaterialPos","-","1","2024-08-14 08:42:08.723"
"Katro","Alpha-Beta","7","0","50","0.0","0.0","0.0","0.0","101.38","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-14 08:57:41.054"
"Katro","MAST","7","1","50","7.0","0.14","0.3505098327538655","0.12285714285714278","162.4","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-14 09:20:50.308"
"Surakarta","Alpha-Beta","8","0","50","50.0","1.0","0.0","0.0","35.88","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 09:48:45.14"
"Surakarta","MAST","8","1","50","49.5","0.99","0.07071067811865474","0.004999999999999998","133.86","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 11:41:26.558"
"Mylna","Alpha-Beta","9","0","50","49.0","0.98","0.14142135623730934","0.019999999999999955","37.02","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 12:07:33.178"
"Mylna","MAST","9","1","50","17.0","0.34","0.47851812069840644","0.22897959183673466","52.38","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 12:50:17.451"
"Lines of Action","Alpha-Beta","10","0","50","50.0","1.0","0.0","0.0","25.72","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-14 13:10:22.149"
"Lines of Action","MAST","10","1","50","36.0","0.72","0.4535573676110727","0.20571428571428574","131.72","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-14 15:00:42.378"
"Ploy","Alpha-Beta","11","0","50","50.0","1.0","0.0","0.0","97.8","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-14 16:21:21.993"
