"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Ploy","MAST","11","1","50","50.0","1.0","0.0","0.0","19.82","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-14 16:37:57.535"
"Triad","Alpha-Beta","12","0","50","16.0","0.32","0.29897785052080494","0.08938775510204079","32.56","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-14 16:57:19.754"
"Triad","MAST","12","1","50","26.25","0.525","0.38215954569701244","0.14604591836734696","33.4","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-14 17:17:49.559"
"Amazons","Alpha-Beta","13","0","50","14.0","0.28","0.4535573676110727","0.20571428571428574","160.0","1.0","0.0","0.0","true","MobilitySimplePos","-","1","2024-08-14 19:22:12.95"
"Amazons","MAST","13","1","50","13.0","0.26","0.443087497693452","0.19632653061224484","149.8","1.0","0.0","0.0","true","MobilitySimplePos","-","1","2024-08-14 21:22:40.204"
"La Liebre Perseguida","Alpha-Beta","14","0","50","50.0","1.0","0.0","0.0","14.52","1.0","0.0","0.0","true","MobilitySimplePos","-","1","2024-08-14 21:29:09.782"
"La Liebre Perseguida","MAST","14","1","50","50.0","1.0","0.0","0.0","11.72","1.0","0.0","0.0","true","MobilitySimplePos","-","1","2024-08-14 21:37:52.875"
"Pylos","Alpha-Beta","15","0","50","7.0","0.14","0.3200765214629725","0.10244897959183669","338.94","0.92","0.0","0.08","true","MobilitySimplePos","-","1","2024-08-14 22:04:52.285"
"Pylos","MAST","15","1","50","11.5","0.23","0.40670402415676465","0.1654081632653062","267.52","0.94","0.0","0.06","true","MobilitySimplePos","-","1","2024-08-14 22:39:44.066"
"Chomp","Alpha-Beta","16","0","50","47.0","0.94","0.2398979374820953","0.05755102040816331","11.38","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-14 22:43:53.611"
"Chomp","MAST","16","1","50","37.0","0.74","0.44308749769345207","0.1963265306122449","11.5","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-14 22:52:47.299"
"Chameleon","Alpha-Beta","17","0","50","2.0","0.04","0.1979486637221575","0.039183673469387795","79.52","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-14 23:57:30.318"
"Chameleon","MAST","17","1","50","33.0","0.66","0.47851812069840666","0.22897959183673489","75.86","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-15 01:01:05.946"
"Tawlbwrdd","Alpha-Beta","18","0","50","50.0","1.0","0.0","0.0","15.36","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-15 01:12:53.595"
"Tawlbwrdd","MAST","18","1","50","50.0","1.0","0.0","0.0","47.12","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-15 01:52:22.6"
"Vela","Alpha-Beta","19","0","50","49.0","0.98","0.1414213562373095","0.019999999999999997","36.92","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-15 02:18:10.956"
"Vela","MAST","19","1","50","46.5","0.93","0.24764194033371034","0.06132653061224495","97.88","0.98","0.0","0.02","true","MaterialPos","-","1","2024-08-15 03:36:39.46"
"Chuka","Alpha-Beta","20","0","0","-1","-1","-1","-1","-1","-1","-1","-1","false","-","-","-1","2024-08-15 03:36:39.852"
"Chuka","MAST","20","1","50","50.0","1.0","0.0","0.0","10.0","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-15 03:40:51.669"
"Hops-a-Daisy Generalized","Alpha-Beta","21","0","50","44.0","0.88","0.3282607226593161","0.10775510204081645","56.74","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-15 04:19:43.404"
"Hops-a-Daisy Generalized","MAST","21","1","50","37.0","0.74","0.44308749769345196","0.19632653061224478","60.9","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-15 05:03:22.732"
"Janggi","Alpha-Beta","22","0","50","49.5","0.99","0.07071067811865472","0.004999999999999997","79.9","0.98","0.0","0.02","true","CentreProximityPos","-","1","2024-08-15 06:00:37.336"
"Janggi","MAST","22","1","50","32.5","0.65","0.4656573146573321","0.21683673469387763","120.26","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-15 07:41:49.019"
"Patok","Alpha-Beta","23","0","50","41.0","0.82","0.3880879344916035","0.15061224489795913","665.18","1.0","0.0","0.0","true","UnthreatenedMaterialPos","-","1","2024-08-15 16:55:45.057"
"Patok","MAST","23","1","50","24.0","0.48","0.5046720495044484","0.25469387755102046","563.24","1.0","0.0","0.0","true","UnthreatenedMaterialPos","-","1","2024-08-16 00:47:28.36"
"Omega","Alpha-Beta","25","0","50","0.0","0.0","0.0","0.0","60.0","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-16 01:33:56.563"
"Omega","MAST","25","1","50","17.0","0.34","0.4785181206984064","0.22897959183673464","60.0","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-16 02:24:07.973"
"Gauntlet","Alpha-Beta","26","0","50","1.0","0.02","0.14142135623730934","0.019999999999999955","31.36","1.0","0.0","0.0","true","SidesProximityPos","-","1","2024-08-16 02:39:13.459"
"Gauntlet","MAST","26","1","50","8.0","0.16","0.37032803990902047","0.13714285714285704","32.36","1.0","0.0","0.0","true","SidesProximityPos","-","1","2024-08-16 02:58:00.551"
"Mehen","Alpha-Beta","27","0","50","33.0","0.66","0.47851812069840666","0.22897959183673489","1055.06","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-16 15:24:57.872"
"Mehen","MAST","27","1","50","31.0","0.62","0.44675702203176826","0.19959183673469386","1277.86","0.84","0.0","0.16","true","MaterialPos","-","1","2024-08-17 05:04:46.13"
"Mini Wars","Alpha-Beta","28","0","50","0.0","0.0","0.0","0.0","606.4","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-17 15:49:39.602"
"Mini Wars","MAST","28","1","50","22.0","0.44","0.5014265364224069","0.25142857142857133","2147.22","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-19 05:28:56.242"
"Toki","Alpha-Beta","29","0","50","50.0","1.0","0.0","0.0","40.92","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-20 18:31:24.088"
"Toki","MAST","29","1","50","36.5","0.73","0.3939594923753621","0.155204081632653","535.08","0.82","0.0","0.18","true","MaterialPos","-","1","2024-08-21 01:58:50.81"
"Aralzaa","Alpha-Beta","30","0","50","25.0","0.5","0.0","0.0","2000.0","0.0","0.0","1.0","true","CornerProximityNeg","-","1","2024-08-21 11:09:56.509"
"Aralzaa","MAST","30","1","50","25.0","0.5","0.0","0.0","2000.0","0.0","0.0","1.0","true","CornerProximityNeg","-","1","2024-08-22 09:39:17.701"
