"game_name","agent_name","iteration","score","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","UCT","0","-1.0","148.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:16:13.662"
"Starchess","UCT","1","1.0","29.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:16:39.913"
"Starchess","UCT","2","0.0","190.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:19:44.653"
"Starchess","UCT","0","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:35:38.041"
"Starchess","UCT","1","1.0","37.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:36:12.215"
"Starchess","UCT","2","1.0","63.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:37:10.493"
"Starchess","UCT","3","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:37:19.612"
"Starchess","UCT","4","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:37:28.736"
"Starchess","UCT","5","1.0","45.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:38:11.927"
"Starchess","UCT","6","0.0","38.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:38:47.095"
"Starchess","UCT","7","0.5","159.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:41:23.423"
"Starchess","UCT","8","0.0","58.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:42:18.679"
"Starchess","UCT","9","1.0","181.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:45:16.076"
"Starchess","UCT","10","0.5","232.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:49:05.506"
"Starchess","UCT","11","1.0","45.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:49:48.702"
"Starchess","UCT","12","0.5","200.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:53:05.191"
"Starchess","UCT","13","0.5","271.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:57:34.872"
"Starchess","UCT","14","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:57:43.953"
"Starchess","UCT","15","1.0","105.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 12:59:23.195"
"Starchess","UCT","16","0.0","107.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:01:05.448"
"Starchess","UCT","17","0.5","229.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:04:52.943"
"Starchess","UCT","18","0.0","20.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:05:11.046"
"Starchess","UCT","19","0.5","280.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:09:48.714"
"Starchess","UCT","20","1.0","65.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:10:50.923"
"Starchess","UCT","21","0.0","60.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:11:48.092"
"Starchess","UCT","22","1.0","85.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:13:10.333"
"Starchess","UCT","23","0.5","316.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:18:24.091"
"Starchess","UCT","24","1.0","98.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:19:59.385"
"Starchess","UCT","25","0.5","315.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:25:09.067"
"Starchess","UCT","26","0.0","48.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:25:55.247"
"Starchess","UCT","27","1.0","107.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:27:38.506"
"Starchess","UCT","28","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:27:47.58"
"Starchess","UCT","29","0.0","26.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:28:10.692"
"Starchess","UCT","30","0.5","292.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:32:59.369"
"Starchess","UCT","31","1.0","37.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:33:34.502"
"Starchess","UCT","32","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:33:43.601"
"Starchess","UCT","33","0.0","130.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:35:48.886"
"Starchess","UCT","34","1.0","25.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:36:11.008"
"Starchess","UCT","35","1.0","34.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:36:43.155"
"Starchess","UCT","36","0.0","38.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:37:19.286"
"Starchess","UCT","37","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:37:28.354"
"Starchess","UCT","38","1.0","13.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:37:39.425"
"Starchess","UCT","39","1.0","102.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:39:18.738"
"Starchess","UCT","40","1.0","147.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:41:43.044"
"Starchess","UCT","41","1.0","11.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:41:52.123"
"Starchess","UCT","42","1.0","87.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:43:17.421"
"Starchess","UCT","43","0.0","103.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:44:56.688"
"Starchess","UCT","44","1.0","52.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:45:45.862"
"Starchess","UCT","45","1.0","25.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:46:08.974"
"Starchess","UCT","46","1.0","100.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:47:47.224"
"Starchess","UCT","47","0.0","76.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:48:58.443"
"Starchess","UCT","48","0.0","132.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:51:07.807"
"Starchess","UCT","49","1.0","107.0","true","false","false","true","CentreProximityPos","-","1","2024-08-12 13:52:49.133"
"Starchess","Ensemble 0","0","1.0","17.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:53:05.776"
"Starchess","Ensemble 0","1","1.0","48.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:53:51.217"
"Starchess","Ensemble 0","2","1.0","52.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:54:39.028"
"Starchess","Ensemble 0","3","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:54:47.015"
"Starchess","Ensemble 0","4","1.0","27.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:55:10.062"
"Starchess","Ensemble 0","5","0.0","28.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:55:35.417"
"Starchess","Ensemble 0","6","1.0","37.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:56:08.542"
"Starchess","Ensemble 0","7","1.0","51.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:56:53.109"
"Starchess","Ensemble 0","8","1.0","93.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:58:20.825"
"Starchess","Ensemble 0","9","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 13:58:27.677"
