"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","UCT","0","6","50","33.5","0.67","0.4239031464273655","0.17969387755102048","95.56","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-12 13:52:49.227"
"Starchess","Ensemble 0","0","7","50","43.5","0.87","0.31638906557643","0.1001020408163265","52.94","1.0","0.0","0.0","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 14:32:29.297"
"DisPath","UCT","1","6","50","26.0","0.52","0.17379321515137758","0.03020408163265302","42.78","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-12 15:07:18.679"
"DisPath","Ensemble 0","1","7","50","31.0","0.62","0.2381904571504724","0.05673469387755103","41.78","1.0","0.0","0.0","true","ScorePos","MC-GRAVE","5","2024-08-12 15:40:33.708"
"Ludus Anglicorum","UCT","2","6","50","45.0","0.9","0.3030457633656632","0.09183673469387751","361.48","1.0","0.0","0.0","true","CornerProximityNeg","-","1","2024-08-12 20:45:26.306"
"Ludus Anglicorum","Ensemble 0","2","7","50","40.0","0.8","0.4040610178208843","0.16326530612244902","398.28","1.0","0.0","0.0","true","CornerProximityNeg","MAST","5","2024-08-13 02:17:37.193"
"Trax","UCT","3","6","50","22.0","0.44","0.5014265364224069","0.2514285714285713","13.04","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-13 02:29:15.95"
"Trax","Ensemble 0","3","7","50","33.0","0.66","0.47851812069840666","0.22897959183673486","9.98","1.0","0.0","0.0","true","MobilityAdvancedPos","Alpha-Beta","5","2024-08-13 02:38:09.933"
"Quixo","UCT","4","6","50","22.0","0.44","0.5014265364224069","0.2514285714285713","143.92","1.0","0.0","0.0","true","LineCompletionHeuristicPos","-","1","2024-08-13 04:38:20.182"
"Quixo","Ensemble 0","4","7","50","8.0","0.16","0.37032803990902047","0.13714285714285704","92.0","1.0","0.0","0.0","true","LineCompletionHeuristicPos","UCT","5","2024-08-13 05:54:49.902"
"Banqi","UCT","5","6","50","28.0","0.56","0.5014265364224069","0.25142857142857133","208.88","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-13 08:51:59.927"
"Banqi","Ensemble 0","5","7","50","13.0","0.26","0.4314191105868999","0.1861224489795918","293.72","0.96","0.0","0.04","true","CornerProximityPos","MC-GRAVE","4","2024-08-13 13:00:05.593"
"Terhuchu","UCT","6","6","50","25.0","0.5","0.45175395145262565","0.20408163265306123","716.76","0.8","0.0","0.2","true","MaterialPos","-","1","2024-08-13 22:58:59.963"
"Terhuchu","Ensemble 0","6","7","50","50.0","1.0","0.0","0.0","225.12","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","5","2024-08-14 02:07:21.537"
"Katro","UCT","7","6","50","16.0","0.32","0.4712120714991611","0.22204081632653053","149.06","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-14 02:30:42.753"
"Katro","Ensemble 0","7","7","50","0.0","0.0","0.0","0.0","106.4","1.0","0.0","0.0","true","MobilityAdvancedPos","Alpha-Beta","5","2024-08-14 02:48:16.896"
"Surakarta","UCT","8","6","50","31.0","0.62","0.4903143514780145","0.24040816326530592","123.74","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 04:31:45.397"
"Surakarta","Ensemble 0","8","7","50","50.0","1.0","0.0","0.0","41.08","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","5","2024-08-14 05:05:06.267"
"Mylna","UCT","9","6","50","28.0","0.56","0.5014265364224069","0.25142857142857133","54.72","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 05:49:35.227"
"Mylna","Ensemble 0","9","7","50","42.0","0.84","0.37032803990902047","0.13714285714285704","47.56","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","5","2024-08-14 06:26:40.445"
"Lines of Action","UCT","10","6","50","22.0","0.44","0.5014265364224069","0.25142857142857133","165.0","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-14 08:45:09.447"
"Lines of Action","Ensemble 0","10","7","50","50.0","1.0","0.0","0.0","28.84","1.0","0.0","0.0","true","CentreProximityPos","Alpha-Beta","5","2024-08-14 09:09:02.355"
"Ploy","UCT","11","6","50","30.0","0.6","0.4948716593053936","0.24489795918367355","81.22","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-14 10:17:08.485"
"Ploy","Ensemble 0","11","7","50","47.0","0.94","0.23989793748209526","0.05755102040816329","67.74","1.0","0.0","0.0","true","CornerProximityPos","Alpha-Beta","5","2024-08-14 11:13:48.898"
"Triad","UCT","12","6","50","29.5","0.59","0.39692697112713715","0.15755102040816316","35.56","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-14 11:36:04.111"
"Triad","Ensemble 0","12","7","50","17.5","0.35","0.37796447300922714","0.1428571428571428","34.56","1.0","0.0","0.0","true","ScorePos","Alpha-Beta","5","2024-08-14 11:57:54.973"
"Amazons","UCT","13","6","50","25.0","0.5","0.5050762722761054","0.25510204081632654","154.68","1.0","0.0","0.0","true","MobilitySimplePos","-","1","2024-08-14 14:02:16.78"
"Amazons","Ensemble 0","13","7","50","21.0","0.42","0.49856938190328975","0.2485714285714284","156.84","1.0","0.0","0.0","true","MobilitySimplePos","MC-GRAVE","5","2024-08-14 16:06:59.378"
"La Liebre Perseguida","UCT","14","6","50","50.0","1.0","0.0","0.0","13.72","1.0","0.0","0.0","true","MobilitySimplePos","-","1","2024-08-14 16:16:37.8"
"La Liebre Perseguida","Ensemble 0","14","7","50","50.0","1.0","0.0","0.0","12.2","1.0","0.0","0.0","true","MobilitySimplePos","Alpha-Beta","5","2024-08-14 16:24:08.959"
"Pylos","UCT","15","6","50","25.5","0.51","0.4998979487692196","0.2498979591836733","122.42","0.98","0.0","0.02","true","MobilitySimplePos","-","1","2024-08-14 16:56:27.076"
"Pylos","Ensemble 0","15","7","50","10.0","0.2","0.3779644730092273","0.1428571428571429","338.64","0.92","0.0","0.08","true","MobilitySimplePos","UCT","5","2024-08-14 17:28:12.111"
"Chomp","UCT","16","6","50","10.0","0.2","0.4040610178208843","0.16326530612244902","10.68","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-14 17:36:25.047"
"Chomp","Ensemble 0","16","7","50","49.0","0.98","0.14142135623730942","0.019999999999999976","11.62","1.0","0.0","0.0","true","MobilityAdvancedPos","Alpha-Beta","5","2024-08-14 17:42:29.834"
"Chameleon","UCT","17","6","50","29.0","0.58","0.49856938190328975","0.2485714285714284","76.26","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-14 18:46:20.577"
"Chameleon","Ensemble 0","17","7","50","43.0","0.86","0.35050983275386566","0.12285714285714289","65.98","1.0","0.0","0.0","true","CornerProximityPos","MC-GRAVE","5","2024-08-14 19:41:21.459"
"Tawlbwrdd","UCT","18","6","50","46.0","0.92","0.2740475156178699","0.07510204081632665","51.04","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 20:24:17.369"
"Tawlbwrdd","Ensemble 0","18","7","50","46.0","0.92","0.27404751561786983","0.07510204081632661","24.56","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","5","2024-08-14 20:44:39.05"
"Vela","UCT","19","6","50","41.0","0.82","0.3747107728172571","0.14040816326530609","153.72","0.96","0.0","0.04","true","MaterialPos","-","1","2024-08-14 22:49:12.517"
"Vela","Ensemble 0","19","7","50","44.5","0.89","0.30788945803217577","0.09479591836734691","94.42","0.98","0.0","0.02","true","MaterialPos","Alpha-Beta","5","2024-08-15 00:04:10.987"
"Chuka","UCT","20","6","50","50.0","1.0","0.0","0.0","10.0","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-15 00:08:23.353"
"Chuka","Ensemble 0","20","7","50","50.0","1.0","0.0","0.0","10.0","1.0","0.0","0.0","true","MobilityAdvancedPos","MAST","4","2024-08-15 00:12:39.504"
"Hops-a-Daisy Generalized","UCT","21","6","50","30.0","0.6","0.4948716593053936","0.24489795918367355","65.36","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-15 00:59:59.076"
"Hops-a-Daisy Generalized","Ensemble 0","21","7","50","38.0","0.76","0.4314191105868999","0.1861224489795918","51.92","1.0","0.0","0.0","true","ScorePos","Alpha-Beta","5","2024-08-15 01:38:21.568"
"Janggi","UCT","22","6","50","27.0","0.54","0.47207747548166595","0.22285714285714292","123.78","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-15 03:23:18.577"
"Janggi","Ensemble 0","22","7","50","49.0","0.98","0.09897433186107875","0.009795918367346947","66.96","1.0","0.0","0.0","true","CentreProximityPos","Alpha-Beta","5","2024-08-15 04:20:01.755"
"Patok","UCT","23","6","50","27.0","0.54","0.5034574339058886","0.2534693877551022","562.1","1.0","0.0","0.0","true","UnthreatenedMaterialPos","-","1","2024-08-15 12:12:43.85"
"Patok","Ensemble 0","23","7","50","36.0","0.72","0.4535573676110727","0.20571428571428574","621.64","1.0","0.0","0.0","true","UnthreatenedMaterialPos","MC-GRAVE","5","2024-08-15 21:03:44.91"
"Omega","UCT","25","6","50","23.0","0.46","0.5034574339058886","0.2534693877551022","60.0","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-15 21:54:01.109"
"Omega","Ensemble 0","25","7","50","2.0","0.04","0.19794866372215747","0.03918367346938778","60.0","1.0","0.0","0.0","true","ScorePos","MC-GRAVE","5","2024-08-15 22:43:48.365"
"Gauntlet","UCT","26","6","50","15.0","0.3","0.4629100498862757","0.21428571428571425","33.44","1.0","0.0","0.0","true","SidesProximityPos","-","1","2024-08-15 23:04:12.663"
"Gauntlet","Ensemble 0","26","7","50","1.0","0.02","0.1414213562373094","0.01999999999999997","31.38","1.0","0.0","0.0","true","SidesProximityPos","Alpha-Beta","5","2024-08-15 23:21:41.032"
"Mehen","UCT","27","6","50","19.5","0.39","0.46609537431644155","0.21724489795918378","1200.9","0.9","0.0","0.1","true","MaterialPos","-","1","2024-08-16 12:25:20.752"
"Mehen","Ensemble 0","27","7","50","23.0","0.46","0.4499433070863892","0.20244897959183672","1261.6","0.8","0.0","0.2","true","MaterialPos","Progressive History","5","2024-08-17 01:32:41.618"
"Mini Wars","UCT","28","6","50","21.0","0.42","0.4985693819032898","0.24857142857142844","2166.14","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-18 19:09:43.69"
"Mini Wars","Ensemble 0","28","7","50","0.0","0.0","0.0","0.0","577.76","1.0","0.0","0.0","true","ScorePos","Alpha-Beta","5","2024-08-19 05:25:41.757"
"Toki","UCT","29","6","50","26.0","0.52","0.47337261502231126","0.22408163265306133","390.66","0.88","0.0","0.12","true","MaterialPos","-","1","2024-08-20 23:27:26.522"
"Toki","Ensemble 0","29","7","50","49.5","0.99","0.07071067811865472","0.004999999999999996","86.54","0.98","0.0","0.02","true","MaterialPos","Alpha-Beta","5","2024-08-21 00:38:27.233"
"Aralzaa","UCT","30","6","50","25.0","0.5","0.0","0.0","2000.0","0.0","0.0","1.0","true","CornerProximityNeg","-","1","2024-08-21 22:59:17.528"
"Aralzaa","Ensemble 0","30","7","50","25.0","0.5","0.0","0.0","2000.0","0.0","0.0","1.0","true","CornerProximityNeg","UCT","5","2024-08-22 19:03:34.546"
