"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Chameleon","Random","17","8","50","0.0","0.0","0.0","0.0","79.94","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-16 00:35:16.754"
"Chameleon","Ensemble -1","17","9","50","50.0","1.0","0.0","0.0","45.16","1.0","0.0","0.0","true","CornerProximityPos","MC-GRAVE","5","2024-08-16 02:26:12.667"
"Tawlbwrdd","Random","18","8","50","8.0","0.16","0.3703280399090204","0.137142857142857","98.04","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-16 03:07:26.568"
"Tawlbwrdd","Ensemble -1","18","9","50","50.0","1.0","0.0","0.0","15.76","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","5","2024-08-16 03:45:41.96"
"Vela","Random","19","8","50","3.0","0.06","0.2398979374820953","0.05755102040816331","58.2","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-16 04:09:31.889"
"Vela","Ensemble -1","19","9","50","50.0","1.0","0.0","0.0","63.7","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","5","2024-08-16 06:43:48.159"
"Chuka","Random","20","8","50","0.0","0.0","0.0","0.0","2.48","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-16 06:43:50.507"
"Chuka","Ensemble -1","20","9","50","50.0","1.0","0.0","0.0","10.0","1.0","0.0","0.0","true","MobilityAdvancedPos","MAST","4","2024-08-16 07:00:40.095"
"Hops-a-Daisy Generalized","Random","21","8","50","0.0","0.0","0.0","0.0","58.26","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-16 07:22:35.262"
"Hops-a-Daisy Generalized","Ensemble -1","21","9","50","49.0","0.98","0.14142135623730942","0.019999999999999976","46.1","1.0","0.0","0.0","true","ScorePos","Alpha-Beta","5","2024-08-16 09:01:43.425"
"Janggi","Random","22","8","50","8.0","0.16","0.25634797778466223","0.06571428571428567","127.9","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-16 09:56:14.172"
"Janggi","Ensemble -1","22","9","50","49.5","0.99","0.07071067811865472","0.004999999999999996","60.54","1.0","0.0","0.0","true","CentreProximityPos","Alpha-Beta","5","2024-08-16 12:27:54.943"
"Patok","Random","23","8","50","13.0","0.26","0.4430874976934521","0.19632653061224492","647.98","1.0","0.0","0.0","true","UnthreatenedMaterialPos","-","1","2024-08-16 17:03:55.229"
"Patok","Ensemble -1","23","9","50","42.0","0.84","0.37032803990902047","0.13714285714285707","600.64","1.0","0.0","0.0","true","UnthreatenedMaterialPos","MC-GRAVE","5","2024-08-22 20:59:21.462"
"Omega","Random","25","8","50","0.0","0.0","0.0","0.0","60.0","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-22 23:32:02.698"
"Omega","Ensemble -1","25","9","50","41.0","0.82","0.3880879344916035","0.15061224489795913","60.0","1.0","0.0","0.0","true","ScorePos","MC-GRAVE","5","2024-08-23 14:17:50.067"
"Gauntlet","Random","26","8","50","0.0","0.0","0.0","0.0","24.92","1.0","0.0","0.0","true","SidesProximityPos","-","1","2024-08-23 14:51:23.001"
"Gauntlet","Ensemble -1","26","9","50","14.0","0.28","0.4535573676110727","0.20571428571428574","30.46","1.0","0.0","0.0","true","SidesProximityPos","Alpha-Beta","5","2024-08-23 19:36:10.4"
"Mehen","Random","27","8","50","8.0","0.16","0.27553287888551303","0.07591836734693878","1299.88","0.76","0.0","0.24","true","MaterialPos","-","1","2024-08-24 02:18:20.352"
"Mini Wars","Random","28","8","50","15.0","0.3","0.4629100498862757","0.21428571428571425","2213.28","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-24 21:45:58.789"
"Toki","Random","29","8","50","0.0","0.0","0.0","0.0","53.96","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-24 22:08:31.408"
"Aralzaa","Random","30","8","50","0.0","0.0","0.0","0.0","28.72","1.0","0.0","0.0","true","CornerProximityNeg","-","1","2024-08-24 22:16:02.514"
"Toki","Ensemble -2","29","10","50","50.0","1.0","0.0","0.0","45.12","1.0","0.0","0.0","true","MaterialPos","-","5","2024-08-26 08:52:00.448"
"Aralzaa","Ensemble -2","30","10","50","25.0","0.5","0.0","0.0","2000.0","0.0","0.0","1.0","true","CornerProximityNeg","-","5","2024-08-29 02:01:16.056"
