"game_name","agent_name","iteration","score","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","Ensemble","0","-1.0","25.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:13:46.543"
"Starchess","Ensemble","1","1.0","45.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:14:27.701"
"Starchess","Ensemble","2","1.0","61.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:15:25.101"
"Starchess","Ensemble","3","1.0","11.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:15:32.742"
"Starchess","Ensemble","4","1.0","11.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:15:39.309"
"Starchess","Ensemble","5","1.0","11.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:15:45.672"
"Starchess","Ensemble","6","1.0","35.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:16:17.609"
"Starchess","Ensemble","7","1.0","47.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:16:59.671"
"Starchess","Ensemble","8","-1.0","48.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:17:46.812"
"Starchess","Ensemble","9","1.0","11.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:17:53.275"
"Starchess","Ensemble","10","1.0","31.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:18:18.117"
"Starchess","Ensemble","11","1.0","27.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:18:42.91"
"Starchess","Ensemble","0","0.5","210.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:39:29.988"
"Starchess","Ensemble","1","1.0","65.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:40:26.905"
"Starchess","Ensemble","2","1.0","25.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:40:46.451"
"Starchess","Ensemble","3","1.0","11.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:40:52.773"
"Starchess","Ensemble","4","1.0","39.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:41:27.306"
"Starchess","Ensemble","5","1.0","91.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:42:44.168"
"Starchess","Ensemble","6","1.0","64.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:43:41.929"
"Starchess","Ensemble","7","1.0","63.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:44:37.687"
"Starchess","Ensemble","8","1.0","77.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:45:44.425"
"Starchess","Ensemble","9","1.0","37.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:46:14.988"
"Starchess","Ensemble","10","1.0","51.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:47:00.547"
"Starchess","Ensemble","11","1.0","29.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:47:24.966"
"Starchess","Ensemble","12","0.5","201.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:50:41.698"
"Starchess","Ensemble","13","1.0","11.0","true","false","false","true","CentreProximityPos","-","5","2024-08-12 12:50:47.957"
