"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","Ensemble","0","2","50","42.0","0.84","0.34166459266003985","0.11673469387755095","63.34","1.0","0.0","0.0","true","CentreProximityPos","-","5","2024-08-12 13:23:19.297"
"Starchess","MC-GRAVE","0","3","50","34.5","0.69","0.3897932471326357","0.15193877551020402","119.64","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-12 15:00:17.377"
"DisPath","Ensemble","1","2","50","25.5","0.51","0.3111860130113139","0.0968367346938776","41.44","1.0","0.0","0.0","true","ScorePos","-","5","2024-08-12 15:33:12.524"
"DisPath","MC-GRAVE","1","3","50","39.0","0.78","0.25071326821120343","0.06285714285714282","43.4","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-12 16:08:21.898"
"Ludus Anglicorum","Ensemble","2","2","50","37.0","0.74","0.4430874976934521","0.19632653061224492","359.56","1.0","0.0","0.0","true","CornerProximityNeg","-","5","2024-08-12 21:08:36.072"
"Ludus Anglicorum","MC-GRAVE","2","3","50","48.0","0.96","0.1979486637221575","0.03918367346938779","312.86","1.0","0.0","0.0","true","CornerProximityNeg","-","1","2024-08-13 01:32:30.203"
"Trax","Ensemble","3","2","50","28.0","0.56","0.5014265364224069","0.2514285714285713","10.16","1.0","0.0","0.0","true","MobilityAdvancedPos","-","5","2024-08-13 01:41:37.393"
"Trax","MC-GRAVE","3","3","50","20.0","0.4","0.4948716593053935","0.24489795918367346","10.96","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-13 01:50:59.404"
"Quixo","Ensemble","4","2","50","7.0","0.14","0.3505098327538656","0.12285714285714283","158.04","1.0","0.0","0.0","true","LineCompletionHeuristicPos","-","5","2024-08-13 04:02:30.281"
"Quixo","MC-GRAVE","4","3","50","3.0","0.06","0.23989793748209526","0.05755102040816329","64.6","1.0","0.0","0.0","true","LineCompletionHeuristicPos","-","1","2024-08-13 04:56:29.247"
"Banqi","Ensemble","5","2","50","6.0","0.12","0.32826072265931605","0.10775510204081643","189.44","1.0","0.0","0.0","true","CornerProximityPos","-","4","2024-08-13 07:36:41.344"
"Banqi","MC-GRAVE","5","3","50","28.0","0.56","0.4806458240360206","0.23102040816326525","393.22","0.92","0.0","0.08","true","CornerProximityPos","-","1","2024-08-13 13:17:50.507"
"Terhuchu","Ensemble","6","2","50","50.0","1.0","0.0","0.0","183.84","1.0","0.0","0.0","true","MaterialPos","-","5","2024-08-13 15:51:38.659"
