"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","Ensemble -2","0","10","50","49.0","0.98","0.1414213562373094","0.01999999999999997","35.08","1.0","0.0","0.0","true","CentreProximityPos","-","5","2024-08-12 14:29:29.091"
"DisPath","Ensemble -2","1","10","50","34.0","0.68","0.2626396615835747","0.06897959183673466","40.82","1.0","0.0","0.0","true","ScorePos","-","5","2024-08-12 16:02:48.84"
"Ludus Anglicorum","Ensemble -2","2","10","50","46.0","0.92","0.27404751561786966","0.07510204081632653","332.74","1.0","0.0","0.0","true","CornerProximityNeg","-","5","2024-08-13 05:50:28.965"
"Trax","Ensemble -2","3","10","50","45.0","0.9","0.3030457633656631","0.09183673469387747","9.82","1.0","0.0","0.0","true","MobilityAdvancedPos","-","5","2024-08-13 06:13:58.429"
"Quixo","Ensemble -2","4","10","50","32.0","0.64","0.4848732213850611","0.2351020408163265","181.44","1.0","0.0","0.0","true","LineCompletionHeuristicPos","-","5","2024-08-13 13:38:10.022"
"Banqi","Ensemble -2","5","10","50","23.5","0.47","0.48875101127302883","0.23887755102040834","327.92","0.94","0.0","0.06","true","CornerProximityPos","-","4","2024-08-14 01:24:23.019"
"Terhuchu","Ensemble -2","6","10","50","50.0","1.0","0.0","0.0","157.8","1.0","0.0","0.0","true","MaterialPos","-","5","2024-08-14 07:57:21.913"
"Katro","Ensemble -2","7","10","50","9.0","0.18","0.38808793449160356","0.15061224489795916","160.32","1.0","0.0","0.0","true","MobilityAdvancedPos","-","5","2024-08-14 09:13:43.392"
"Surakarta","Ensemble -2","8","10","50","50.0","1.0","0.0","0.0","38.8","1.0","0.0","0.0","true","MaterialPos","-","5","2024-08-14 10:41:45.836"
"Mylna","Ensemble -2","9","10","50","46.0","0.92","0.2740475156178699","0.07510204081632665","40.02","1.0","0.0","0.0","true","MaterialPos","-","5","2024-08-14 12:08:33.233"
