"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","Portfolio","0","4","50","49.0","0.98","0.14142135623730942","0.019999999999999973","41.24","1.0","0.0","0.0","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 13:03:06.723"
"Starchess","Progressive History","0","5","50","37.5","0.75","0.3944771791852593","0.1556122448979592","89.72","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-12 14:15:51.337"
"DisPath","Portfolio","1","4","50","37.5","0.75","0.2525381361380527","0.06377551020408163","42.5","1.0","0.0","0.0","true","ScorePos","MC-GRAVE","1","2024-08-12 14:50:25.785"
"DisPath","Progressive History","1","5","50","27.5","0.55","0.25253813613805265","0.06377551020408162","42.52","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-12 15:25:01.583"
"Ludus Anglicorum","Portfolio","2","4","50","49.0","0.98","0.14142135623730936","0.01999999999999996","480.58","1.0","0.0","0.0","true","CornerProximityNeg","MAST","1","2024-08-12 22:10:38.806"
"Ludus Anglicorum","Progressive History","2","5","50","48.0","0.96","0.1979486637221575","0.03918367346938779","332.44","1.0","0.0","0.0","true","CornerProximityNeg","-","1","2024-08-13 02:49:49.675"
"Trax","Portfolio","3","4","50","44.0","0.88","0.32826072265931605","0.1077551020408164","11.16","1.0","0.0","0.0","true","MobilityAdvancedPos","Alpha-Beta","1","2024-08-13 02:59:03.639"
"Trax","Progressive History","3","5","50","31.0","0.62","0.4903143514780145","0.24040816326530592","9.5","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-13 03:07:22.646"
"Quixo","Portfolio","4","4","50","32.0","0.64","0.4848732213850611","0.23510204081632646","349.92","1.0","0.0","0.0","true","LineCompletionHeuristicPos","UCT","1","2024-08-13 08:00:41.373"
"Quixo","Progressive History","4","5","50","30.0","0.6","0.49487165930539356","0.24489795918367352","326.24","1.0","0.0","0.0","true","LineCompletionHeuristicPos","-","1","2024-08-13 12:33:59.652"
"Banqi","Portfolio","5","4","50","24.0","0.48","0.46246897303539003","0.2138775510204083","528.08","0.84","0.0","0.16","true","CornerProximityPos","MC-GRAVE","1","2024-08-13 20:13:31.75"
"Banqi","Progressive History","5","5","50","24.0","0.48","0.5046720495044484","0.25469387755102046","227.32","1.0","0.0","0.0","true","CornerProximityPos","-","1","2024-08-13 23:27:14.835"
"Terhuchu","Portfolio","6","4","50","50.0","1.0","0.0","0.0","202.96","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","1","2024-08-14 02:15:55.648"
"Terhuchu","Progressive History","6","5","50","36.5","0.73","0.3382125886214775","0.11438775510204079","933.0","0.66","0.0","0.34","true","MaterialPos","-","1","2024-08-14 15:15:24.921"
